BIRNIN KEBBI,KEBBI,BKK,0,DIRECT,
BIRNIN KUDU,JIGAWA,DUT,+1,FD,Kano Hub
BIRNIN MAGAJI,ZAMFARA,GUS,+1,FD,Gusau Hub
BIRNIN YAURI,KEBBI,BKK,+2,FI,
BIU,BORNO,MIU,+1,FH,Maiduguri Hub
BIWATER,NIGER,MNA,+1,FA,Minna Hub
BODE,OSUN,OSG,0,FC,Osogbo Hub
BODE SA'DU,KWARA,ILR,+1,FD,Ilorin Hub
BODIJA,OYO,IBA,0,DIRECT,Ibadan Hub
BODINGA,SOKOTO,SKO,+1,FC,Sokoto Hub
BODO,RIVERS,PHC,+1,FE,PH Hub
BOGORO,BAUCHI,BAU,+1,FZ2,Bauchi Hub
BOH,GOMBE,GOM,+2,FE,Gombe Hub
BOJE,CROSS RIVER,CBQ,+3,FG,Calabar Hub
BOJUDE,GOMBE,GOM,+1,FB,Gombe Hub
BOKKOS,PLATEAU,JOS,+2,FD,Jos Hub
BOKYI LGA,CROSS RIVER,CBQ,+2,FE,Calabar Hub
BOLORUNDURO,ONDO,AKR,+1,FB,Akure Hub
BOMADI,DELTA,WRI,+2,FJ,Warri Hub
BOMO CENTRAL,BAYELSA,YEN,+3,FR,PH Hub
BOMO EAST,BAYELSA,YEN,+3,FR,PH Hub
BONNY,RIVERS,PHC,+1,DIRECT,PH Hub
BORI,RIVERS,PHC,+1,FE,PH Hub
BOROKIRI,RIVERS,PHC,0,DIRECT,PH Hub
BORON,ADAMAWA,YOL,+1,FE,Yola Hub
BOSSO,NIGER,MNA,0,FA,Minna Hub
BRASS,BAYELSA,YEN,+3,FT,PH Hub
BRIGADE QUARTERS,KANO,KAN,0,DIRECT,Kano Hub
BUGUMA,RIVERS,PHC,+2,FE,PH Hub
BUKKUYU,ZAMFARA,GUS,+1,FD,Gusau Hub
BUKURU,PLATEAU,JOS,+1,FA,Jos Hub
BULASA,KEBBI,BKK,0,FC,
BUNGUDU,ZAMFARA,GUS,+1,FC,Gusau Hub
BUNI-YADI,YOBE,DAM,+1,FC,
BUNZA,KEBBI,BKK,+1,FE,
BURIA,GOMBE,GOM,+1,FD,Gombe Hub
BURUKU,KADUNA,KAD,+1,FE,Kaduna Hub
BWARI,FCT,ABV,0,FB,Abuja Hub
CALABAR,CROSS RIVER,CBQ,0,DIRECT,Calabar Hub
CALABAR SOUTH,CROSS RIVER,CBQ,0,DIRECT,Calabar Hub
CHACHANGI,TARABA,JAL,+3,FZ6,
CHALLAWA PHASE 1-3,KANO,KAN,0,DIRECT,Kano Hub
CHANCHANGA,NIGER,MNA,0,FA,Minna Hub
CHARANCHI,KATSINA,KAS,+1,FC,Kano Hub
CHEVRON,LAGOS,LAS,0,DIRECT,Lagos Hub
CHIBOK,BORNO,MIU,+2,FZ2,Maiduguri Hub
CHIKANDA,KWARA,ILR,+2,FZ11,Ilorin Hub
CHOBA,RIVERS,PHC,0,DIRECT,PH Hub
CHUKUN,KADUNA,KAD,+1,FE,Kaduna Hub
COKER VILLAGE,LAGOS,LOS,0,DIRECT,Lagos Hub
CORNER DANGORA,KANO,KAN,+1,FE,Kano Hub
CREEK TOWN,CROSS RIVER,CBQ,+1,FD,Calabar Hub
CROWN ESTATE,LAGOS,LAS,0,FC,Lagos Hub
DA KALE,KADUNA,KAD,+1,FA,Kaduna Hub
DADARA,KATSINA,KAS,+1,FE,Kano Hub
DADDARE,NASARAWA,LAF,0,FB,Abuja Hub
DADIN KOWA,GOMBE,GOM,+1,FD,Gombe Hub
DADIYA,GOMBE,GOM,+2,FE,Gombe Hub
DAKACHI,KADUNA,KAD,+1,FA,Kaduna Hub
DAMAGUN,YOBE,DAM,+1,FC,
DAMATURU,YOBE,DAM,0,DIRECT,
DAMBAM,BAUCHI,BAU,+1,FZ3,Bauchi Hub
DAMBATA,KANO,KAN,+1,FB,Kano Hub
DAMBOA,BORNO,MIU,+1,FD,Maiduguri Hub
DAMMARNA,KATSINA,KAS,+1,FB,Kano Hub
DANCHADI,ZAMFARA,GUS,+1,FZ2,Gusau Hub
DANDAGORO,KATSINA,KAS,+1,FB,Kano Hub
DANDUME,KATSINA,KAS,+1,FE,Kano Hub
DANGARA,FCT,ABV,+1,FB,Abuja Hub
DANGE,SOKOTO,SKO,+1,FC,Sokoto Hub
DANJA,KATSINA,KAS,+1,FE,Kano Hub
DANKAMA,KATSINA,KAS,+1,FD,Kano Hub
DANKO WASAGU,KEBBI,BKK,+2,FZ8,
DANMUSA,KATSINA,KAS,+1,FE,Kano Hub
DANZABUWA,KANO,KAN,+1,FD,Kano Hub
DAPCHI,BORNO,MIU,+1,FH,Maiduguri Hub
DAPCHI,YOBE,DAM,+1,FZ3,
DARAZO,BAUCHI,BAU,+1,FZ2,Bauchi Hub
DARKI,KANO,KAN,+1,FD,Kano Hub
DASS,BAUCHI,BAU,+1,FD,Bauchi Hub
DAURA,KATSINA,KAS,+1,FE,Kano Hub
DAWAKIN KUDU,KANO,KAN,+1,FD,Kano Hub
DAWAKIN TOFA,KANO,KAN,+1,FD,Kano Hub
DAWANAU,KANO,KAN,+1,FB,Kano Hub
DEBA,GOMBE,GOM,+2,FZ2,Gombe Hub
DEGEMA,RIVERS,PHC,+2,FE,PH Hub
DEI-DEI,FCT,ABV,0,FB,Abuja Hub
DEKINA,KOGI,LKJ,+3,FH,
DEMSA,ADAMAWA,YOL,0,FB,Yola Hub
DENGI,PLATEAU,JOS,+1,FH,Jos Hub
DIDAN MUTUMDAYA,KATSINA,KAS,+1,FD,Kano Hub
DIFA,GOMBE,GOM,+1,FC,Gombe Hub
DIKKO,NIGER,MNA,0,FA,Minna Hub
DIKWA,BORNO,MIU,+1,FE,Maiduguri Hub
DIOBU,RIVERS,PHC,0,DIRECT,PH Hub
DOGON DAJI,SOKOTO,SKO,+1,FD,Sokoto Hub
